28,18,11,22,35,9,36,21
5,20,2,4,30,7,39,4
17,30,0,26,32,12,3,26
14,24,5,6,14,4,13,7
39,25,30,3,13,36,11,37
25,24,8,37,12,8,31,24
8,8,7,28,34,0,4,4
25,28,26,28,37,10,36,35
11,23,24,33,9,19,13,29
34,13,39,17,34,11,23,32
2,11,6,3,31,3,36,20
7,24,31,2,11,7,29,23
29,27,12,7,14,30,12,19
31,24,29,7,35,34,29,25
9,2,13,3,10,17,2,19
17,39,24,9,36,27,18,3
30,18,2,32,32,31,7,18
38,36,30,36,3,30,20,29
18,24,1,17,8,15,30,34
20,39,28,6,1,11,23,25
23,23,12,9,24,2,20,21
26,6,0,4,33,30,17,37
1,18,37,0,26,31,34,19
7,14,34,34,34,20,11,19
16,6,6,27,34,37,4,5
34,28,23,8,1,12,20,6
21,23,23,4,33,25,19,12
20,10,34,13,34,18,24,30
27,3,18,32,12,11,19,14
30,25,20,32,18,3,33,36
14,22,22,28,32,31,10,15
4,16,8,20,30,2,30,16
39,36,10,20,12,11,37,23
22,39,12,36,1,18,23,10
26,36,33,32,6,21,32,13
11,16,2,2,12,25,35,29
2,38,27,34,17,7,13,34
19,38,23,30,13,14,17,21
3,6,0,19,28,22,9,15
39,8,9,5,35,1,12,4
33,0,21,20,20,20,0,25
11,21,6,12,20,28,14,1
18,8,23,39,10,27,22,6
12,36,39,15,31,15,27,22
23,31,2,20,2,25,23,19
3,29,21,15,9,9,13,30
17,24,6,18,25,6,1,17
24,38,31,31,36,17,10,15
38,23,10,10,15,19,27,15
24,36,22,2,6,34,17,27
11,19,28,39,9,21,15,0
30,38,35,34,15,8,27,22
16,26,37,29,28,23,24,34
11,6,38,21,5,6,18,35
9,26,29,18,18,4,8,10
5,20,35,23,9,14,9,37
3,14,18,16,25,39,0,25
14,17,29,27,12,13,0,3
36,8,26,35,10,8,0,7
14,34,16,25,30,20,12,27
6,13,16,20,34,39,32,39
31,21,8,12,6,23,7,21
23,4,13,35,3,37,19,2
28,22,15,30,19,16,19,21
21,33,25,37,4,21,14,3
0,17,2,26,8,29,34,3
33,10,32,10,16,14,35,17
15,35,27,35,11,4,25,38
34,21,23,3,35,7,8,2
20,31,9,4,27,7,5,38
39,21,36,19,1,24,27,29
27,8,31,5,5,27,13,24
38,22,15,35,7,29,19,33
13,21,12,1,34,34,16,11
12,13,2,11,1,28,29,1
5,21,3,24,6,11,33,14
30,8,36,6,17,2,39,1
25,10,38,10,39,31,32,2
22,18,13,33,28,19,16,24
11,19,22,39,20,3,30,0
34,5,9,26,25,36,33,7
20,23,9,35,15,1,6,34
38,16,21,12,8,32,39,30
22,2,18,38,0,3,29,38
8,21,24,22,31,36,7,4
26,24,16,14,33,36,5,15
38,0,16,38,13,12,36,38
30,9,26,6,26,32,33,38
19,15,21,31,17,29,34,3
37,14,14,4,35,7,12,24
22,31,11,5,11,38,8,12
1,3,0,29,20,21,9,34
3,32,31,22,1,39,17,31
7,39,35,1,4,30,17,28
39,27,12,9,10,23,28,34
36,12,6,12,20,25,18,3
23,39,34,35,28,6,28,38
27,7,5,0,7,26,19,0
35,11,17,22,8,6,17,0
18,37,15,32,7,32,28,21
27,13,3,36,2,15,11,14
22,32,19,30,21,37,11,2
22,30,19,21,21,22,9,23
8,12,19,2,34,31,10,19
11,3,10,0,15,11,0,7
17,7,6,23,39,2,3,26
6,19,33,15,17,23,27,13
25,0,25,13,10,21,22,17
1,9,9,36,29,6,20,22
1,5,30,19,39,12,39,6
8,20,3,10,38,0,12,2
19,16,24,27,15,1,32,37
2,38,9,2,8,29,28,30
4,1,31,34,10,22,1,22
15,17,0,30,2,36,11,33
17,33,20,30,6,7,34,24
10,32,11,24,16,2,14,3
27,30,26,4,26,5,11,25
13,32,38,32,33,7,1,4
0,17,3,37,0,26,8,17
8,38,20,12,6,37,28,9
25,13,34,8,31,27,29,20
11,30,16,27,5,23,19,14
7,7,6,27,22,14,38,29
0,20,11,5,23,23,15,19
9,6,22,30,3,28,25,0
29,30,33,0,1,6,6,10
24,34,0,28,17,21,18,10
7,25,31,5,35,15,1,38
13,23,16,20,35,35,13,30
1,16,34,3,36,27,19,32
5,19,14,1,5,17,9,21
25,33,22,3,36,11,17,33
36,4,9,21,24,31,17,28
9,26,3,24,34,34,10,32
3,14,5,6,5,12,20,39
7,9,26,27,10,21,19,28
9,14,32,22,0,27,19,12
14,32,25,29,6,4,1,26
4,10,31,23,39,3,19,31
6,26,37,17,14,36,26,6
11,15,31,1,38,6,0,3
2,7,37,3,27,32,29,5
15,29,6,10,34,6,12,31
0,10,33,6,15,1,13,31
38,4,31,30,22,13,5,36
26,5,16,11,11,1,37,0
2,5,22,2,18,5,30,19
38,21,34,33,38,6,18,17
28,18,5,36,32,23,23,28
25,18,30,22,39,25,33,1
17,5,25,5,9,18,28,22
19,23,15,3,30,32,28,20
1,22,32,20,6,26,7,8
29,26,13,36,1,8,31,28
35,5,21,21,11,20,20,29
35,22,5,22,20,24,10,25
1,16,38,1,31,31,18,27
37,31,38,7,12,25,28,11
17,11,4,1,31,39,22,26
